alpha,gamma,epsilon,r_p99,p_p99,improvement_pct
0.10,0.70,0.10,73.26,40.57,44.63
0.10,0.70,0.25,73.26,40.66,44.50
0.30,0.70,0.50,73.26,41.54,43.30
0.30,0.90,0.50,73.26,41.54,43.30
0.50,0.90,0.50,73.26,41.54,43.30
0.10,0.70,0.50,73.26,41.60,43.22
0.10,0.90,0.50,73.26,41.60,43.22
0.50,0.70,0.50,73.26,41.60,43.22
0.50,0.90,0.10,73.26,44.05,39.88
0.10,0.90,0.10,73.26,44.91,38.70
0.30,0.70,0.10,73.26,44.91,38.70
0.50,0.70,0.10,73.26,44.91,38.70
0.10,0.90,0.25,73.26,44.97,38.62
0.30,0.70,0.25,73.26,44.97,38.62
0.50,0.70,0.25,73.26,44.97,38.62
0.30,0.90,0.10,73.26,59.80,18.37
0.30,0.90,0.25,73.26,61.22,16.44
0.50,0.90,0.25,73.26,63.77,12.96
